17:02:25 [DEBUG] disk_inspector: Starting up
17:02:25 [DEBUG] disk_inspector: Getting disk info
17:02:25 [DEBUG] disk_inspector: 1 disks found
17:02:29 [DEBUG] disk_inspector: Disk is starting with 0 children
17:02:29 [DEBUG] disk_inspector: Reading all files
17:04:56 [DEBUG] disk_inspector: Counter above 100
17:04:56 [DEBUG] disk_inspector: Disk read reported complete
17:05:03 [DEBUG] disk_inspector::app: Disk read done
17:05:03 [DEBUG] disk_inspector::app: Disk read complete
17:05:03 [DEBUG] disk_inspector: Disk read thread complete
17:05:03 [DEBUG] disk_inspector: Disk is finishing with 30 children
17:05:03 [DEBUG] cursive::backend::curses::n: Unknown event: 00000000000000000000000000000100
17:05:03 [DEBUG] cursive::backend::curses::n: No event parsed?...
17:05:05 [DEBUG] disk_inspector: Beginning nav
17:05:05 [DEBUG] disk_inspector::inspector: Navigating /, with 30 children and 0 parents
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:10 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:11 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:12 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:13 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:14 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:14 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:14 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:14 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 30 }
17:05:14 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 30 }]
17:05:14 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 30 }
17:05:14 [DEBUG] disk_inspector::view: In lambda, selected /Users
17:05:14 [DEBUG] disk_inspector::inspector: Selected /Users
17:05:14 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:05:19 [DEBUG] disk_inspector::inspector: Pre push
17:05:21 [DEBUG] disk_inspector::inspector: Post push
17:05:21 [DEBUG] disk_inspector::inspector: Navigating /Users, with 4 children and 1 parents
17:05:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:21 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 5 }
17:05:21 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:21 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:22 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:22 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 5 }
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:22 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:22 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 5 }
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:22 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:23 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:23 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 5 }
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:23 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:23 [DEBUG] cursive::views::linear_layout: Req: XY { x: 85, y: 5 }
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 85, y: 5 }]
17:05:23 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 85, y: 5 }
17:05:23 [DEBUG] disk_inspector::view: In lambda, selected /Users/ray
17:05:25 [DEBUG] disk_inspector::inspector: Selected /Users/ray
17:05:25 [DEBUG] disk_inspector::inspector: Cloning dir and children
17:05:28 [DEBUG] disk_inspector::inspector: Pre push
17:05:29 [DEBUG] disk_inspector::inspector: Post push
17:05:29 [DEBUG] disk_inspector::inspector: Navigating /Users/ray, with 65 children and 2 parents
17:05:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:30 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:30 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:30 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:31 [DEBUG] cursive::views::linear_layout: Req: XY { x: 86, y: 66 }
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:31 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
17:05:32 [DEBUG] cursive::views::linear_layout: Req: XY { x: 129, y: 69 }
17:05:32 [DEBUG] cursive::views::linear_layout: Ideal sizes: [XY { x: 86, y: 66 }]
17:05:32 [DEBUG] cursive::views::linear_layout: Ideal result: XY { x: 86, y: 66 }
